CAMPUS;CURSO;Sou pontual e permaneço em aula do início ao término do horário.;Mantenho bom relacionamento com os docentes no processo de ensino-aprendizagem.;Consulto as bibliografias indicadas.;Recorro a outras leituras além das indicadas.;Demonstro habilidade para trabalhar em grupo.;Minha aprendizagem poderia ser melhor se eu tivesse mais: (permite selecionar mais de uma opção);Sou atento e envolvido nas atividades em aula.;Possuo conhecimento básico suficiente para acompanhar o conteúdo das disciplinas.;Conheço o plano de ensino, composto pela ementa, objetivos, conteúdos e cronograma das disciplinas.;de meu esforço;dos meus professores;das condições de infraestrutura;de minha família;Respeito os docentes;Procuro os professores para orientação e esclarecimento de dúvidas fora da sala de aula, pessoalmente ou fazendo uso de outros canais de comunicação.;Consulto regularmente a página do IFPR na internet.;Leio os informativos e os informes do meu cursos regularmente.;Não faltam às aulas.;Iniciam as aulas e encerram as atividades no horário estipulado.;Atendem a dúvidas fora da sala de aula, pessoalmente ou através de outros canais de comunicação.;Estabelecem de forma clara os critérios de avaliação das disciplinas.;As avaliações são divulgadas de acordo com o calendário acadêmico vigente.;Retificam e comentam os erros mais frequentes observados nas avaliações.;Utilizam linguagem clara e acessível na explicação dos conteúdos, trabalhos e atividades.;Estimulam a participação dos estudantes durante as aulas.;Indicam leituras complementares.;Mantêm disciplina e clima de respeito mútuo, atenção e trabalho produtivo.;Apresentam os programas de estudo das disciplinas.;Propõem conteúdo programático atualizado que contribui para sua formação acadêmica.;Cumprem o programa proposto realizando as adequações necessárias (em razão do calendário, da atualização dos planos de ensino, dentre outras questões).;Incentivam a participação em projetos de pesquisa e extensão, entre outros.;Transmitem com clareza os conteúdos das disciplinas.;"Estudo de casos;";"Aulas Expositivas;";"Seminários e Fóruns;";"Grupos de Discussão;";"Aulas Práticas;";"Pesquisa de Campo;";"Multimídia;";"Outros;";Demonstram interesse em acompanhar a evolução da aprendizagem dos acadêmicos.;Os docentes estimulam a capacidade de reflexão, análise e crítica dos alunos.;Correlacionam as disciplinas do curso e as integram com a prática.;Acompanha as atividades do curso.;Incentiva a participação em atividades de pesquisa, extensão, culturais, entre outras.;É engajada em ações voltadas para a promoção de eventos científicos, culturais e artísticos de interesse dos estudantes.;Está à disposição para orientações e esclarecimento de dúvidas dos discentes.;Atua como mediador das situações de conflito e/ou dificuldades dos acadêmicos.;Busca aperfeiçoar o atendimento aos estudantes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curitiba;GESTÃO PÚBLICA;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;"organização;tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curitiba;GESTÃO PÚBLICA;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;"organização;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curitiba;GESTÃO PÚBLICA;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;"tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;1 - Discordo Totalmente;1 - Discordo Totalmente;3 - Indiferente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;3 - Indiferente;3 - Indiferente;3 - Indiferente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;1 - Discordo Totalmente;3 - Indiferente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;3 - Indiferente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curitiba;GESTÃO PÚBLICA;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;"tempo;";4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curitiba;GESTÃO PÚBLICA;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;"tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;"tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;"tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;1 - Discordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;1 - Discordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;1 - Discordo Totalmente;3 - Indiferente;3 - Indiferente;4 - Concordo Parcialmente;1 - Discordo Totalmente;4 - Concordo Parcialmente;1 - Discordo Totalmente;1 - Discordo Totalmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;1 - Discordo Totalmente;1 - Discordo Totalmente;1 - Discordo Totalmente;1 - Discordo Totalmente;2 - Discordo Parcialmente;3 - Indiferente;1 - Discordo Totalmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;"disciplina;";5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Umuarama;ARQUITETURA E URBANISMO;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;3 - Indiferente;5 - Concordo Totalmente;"tempo;";4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;2 - Discordo Parcialmente;"comunicação com os professores;disciplina;";4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;3 - Indiferente;5 - Concordo Totalmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;3 - Indiferente;3 - Indiferente;3 - Indiferente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;"tempo;";5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;5 - Concordo Totalmente;3 - Indiferente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;5 - Concordo Totalmente;"tempo;";5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;CIÊNCIAS BIOLÓGICAS;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;"tempo;";4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;DIREITO;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;"organização;tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;3 - Indiferente;3 - Indiferente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;ENFERMAGEM;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;"organização;tempo;";4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;ENFERMAGEM;5 - Concordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;"organização;interesse;";4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;ENFERMAGEM;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;"interesse;tempo;";5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;1 - Discordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;3 - Indiferente;5 - Concordo Totalmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;2 - Discordo Parcialmente;2 - Discordo Parcialmente;3 - Indiferente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palmas;ENFERMAGEM;5 - Concordo Totalmente;3 - Indiferente;5 - Concordo Totalmente;2 - Discordo Parcialmente;5 - Concordo Totalmente;"interesse;";5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;3 - Indiferente;5 - Concordo Totalmente;1 - Discordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;1 - Discordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;5 - Concordo Totalmente;4 - Concordo Parcialmente;4 - Concordo Parcialmente;5 - Concordo Totalmente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
